,fare,name_from,name_to,node_from,node_to,key
452,129,Richmond,North Berkeley,15520,15524,1552015524
453,129,Richmond,Berkeley,15520,15523,1552015523
454,129,Richmond,Ashby,15520,15525,1552015525
455,364,Richmond,Pittsburg/ Bay Point,15520,15536,1552015536
456,329,Richmond,North Concord,15520,15535,1552015535
457,315,Richmond,Concord,15520,15501,1550115520
458,290,Richmond,Pleasant Hill,15520,15502,1550215520
459,276,Richmond,Walnut Creek,15520,15503,1550315520
460,255,Richmond,Lafayette,15520,15504,1550415520
461,227,Richmond,Orinda,15520,15505,1550515520
462,185,Richmond,Rockridge,15520,15506,1550615520
463,182,Richmond,MacArthur,15520,15507,1550715520
464,196,Richmond,19th St Oakland,15520,15508,1550815520
465,196,Richmond,12th St Oakland City Center,15520,15509,1550915520
