,fare,name_from,name_to,node_from,node_to,key,
134,360,Fremont,Richmond,15526,15520,1552015526,15526   15520   360  ;Fremont to Richmond
135,350,Fremont,El Cerrito Del Norte,15526,15521,1552115526,15526   15521   350  ;Fremont to El Cerrito Del Norte
136,336,Fremont,El Cerrito Plaza,15526,15522,1552215526,15526   15522   336  ;Fremont to El Cerrito Plaza
137,322,Fremont,North Berkeley,15526,15524,1552415526,15526   15524   322  ;Fremont to North Berkeley
138,322,Fremont,Berkeley,15526,15523,1552315526,15526   15523   322  ;Fremont to Berkeley
139,315,Fremont,Ashby,15526,15525,1552515526,15526   15525   315  ;Fremont to Ashby
140,476,Fremont,Pittsburg/ Bay Point,15526,15536,1552615536,15526   15536   476  ;Fremont to Pittsburg/ Bay Point
141,441,Fremont,North Concord,15526,15535,1552615535,15526   15535   441  ;Fremont to North Concord
142,427,Fremont,Concord,15526,15501,1550115526,15526   15501   427  ;Fremont to Concord
143,399,Fremont,Pleasant Hill,15526,15502,1550215526,15526   15502   399  ;Fremont to Pleasant Hill
144,392,Fremont,Walnut Creek,15526,15503,1550315526,15526   15503   392  ;Fremont to Walnut Creek
145,367,Fremont,Lafayette,15526,15504,1550415526,15526   15504   367  ;Fremont to Lafayette
146,339,Fremont,Orinda,15526,15505,1550515526,15526   15505   339  ;Fremont to Orinda
147,304,Fremont,Rockridge,15526,15506,1550615526,15526   15506   304  ;Fremont to Rockridge
148,304,Fremont,MacArthur,15526,15507,1550715526,15526   15507   304  ;Fremont to MacArthur
149,301,Fremont,19th St Oakland,15526,15508,1550815526,15526   15508   301  ;Fremont to 19th St Oakland
150,301,Fremont,12th St Oakland City Center,15526,15509,1550915526,15526   15509   301  ;Fremont to 12th St Oakland City Center
151,308,Fremont,West Oakland,15526,15510,1551015526,15526   15510   308  ;Fremont to West Oakland
152,416,Fremont,Embarcadero,15526,15511,1551115526,15526   15511   416  ;Fremont to Embarcadero
153,416,Fremont,Montgomery,15526,15512,1551215526,15526   15512   416  ;Fremont to Montgomery
154,416,Fremont,Powell,15526,15513,1551315526,15526   15513   416  ;Fremont to Powell
155,416,Fremont,Civic Center,15526,15514,1551415526,15526   15514   416  ;Fremont to Civic Center
156,420,Fremont,16th St Mission,15526,15515,1551515526,15526   15515   420  ;Fremont to 16th St Mission
157,423,Fremont,24th St Mission,15526,15516,1551615526,15526   15516   423  ;Fremont to 24th St Mission
158,434,Fremont,Glen Park,15526,15517,1551715526,15526   15517   434  ;Fremont to Glen Park
159,441,Fremont,Balboa Park,15526,15518,1551815526,15526   15518   441  ;Fremont to Balboa Park
